candidate_id,sample_label,R_x,R_y,delta_u,delta_v,resolution,dk,omega0,vg_x,vg_y,vg_norm,mass_xx,mass_xy,mass_yy,mass_min,mass_max,status,error_message,omega_ref,vg_ref,mass_ref_min,mass_ref_max,omega_delta,vg_delta,mass_delta_min,mass_delta_max
1737,center,0.0,0.0,0.0,0.0,24.0,0.005,0.3211283503520689,-3.75864323810815e-05,-2.3484589430078362e-05,4.432003880680792e-05,5.402492202825486,-2.7010140611999183,1.7781640423816802,0.33772676177773353,6.842929483429431,ok,,0.3211102722824599,1.8229653023882915e-05,0.33621374503751733,6.821002835894834,1.807806960896219e-05,2.6090385782925007e-05,0.0015130167402161998,0.021926647534597166
1737,center,0.0,0.0,0.0,0.0,24.0,0.01,0.32112835039469567,-3.757267633582029e-05,-2.344950896307485e-05,4.428978976745811e-05,5.402157336040874,-2.700486217781361,1.778142030116545,0.338073800381546,6.842225565775873,ok,,0.3211102722824599,1.8229653023882915e-05,0.33621374503751733,6.821002835894834,1.8078112235753174e-05,2.6060136743575198e-05,0.001860055344028666,0.021222729881039015
1737,center,0.0,0.0,0.0,0.0,32.0,0.005,0.3211147353823387,3.936634189460886e-05,-1.53953271006535e-05,4.2269669630828114e-05,5.391418600471655,-2.695241382462515,1.773951914583461,0.33678901525237115,6.828581499802745,ok,,0.3211102722824599,1.8229653023882915e-05,0.33621374503751733,6.821002835894834,4.4630998787820175e-06,2.40400166069452e-05,0.000575270214853818,0.00757866390791051
1737,center,0.0,0.0,0.0,0.0,32.0,0.01,0.32111473539377167,3.9385146936854465e-05,-1.539617501163104e-05,4.2287492290586216e-05,5.391085995270355,-2.6947188563258537,1.773948005645114,0.33714621676665546,6.827887784148814,ok,,0.3211102722824599,1.8229653023882915e-05,0.33621374503751733,6.821002835894834,4.463111311747703e-06,2.40578392667033e-05,0.000932471729138129,0.0068849482539796725
1737,center,0.0,0.0,0.0,0.0,40.0,0.005,0.3211102722824599,-1.7862757428765974e-05,3.6389760114940994e-06,1.8229653023882915e-05,5.385324572378947,-2.692377883005432,1.7718920085534051,0.33621374503751733,6.821002835894834,ok,,0.3211102722824599,1.8229653023882915e-05,0.33621374503751733,6.821002835894834,0.0,0.0,0.0,0.0
1737,center,0.0,0.0,0.0,0.0,40.0,0.01,0.3211102713197576,-1.783882402801862e-05,3.6749732729157714e-06,1.8213431067738437e-05,5.384980905407502,-2.6918559937026636,1.7719623767917245,0.3366258068775134,6.820317475321714,ok,,0.3211102722824599,1.8229653023882915e-05,0.33621374503751733,6.821002835894834,-9.627023067615426e-10,-1.6221956144477957e-08,0.0004120618399960918,-0.0006853605731205192
1737,edge_x,26.043936117896973,0.0,-15.285780752515002,30.071561505029933,24.0,0.005,0.20412414523193156,4.300802769474643e-10,2.2898349882893854e-14,4.3008027755704173e-10,190.51586879822378,-47.62896703476353,95.8682655118716,76.04997378016647,210.3341605299289,ok,,0.20412414523193156,4.730662946042082e-11,76.04997380444757,210.33416058127335,0.0,3.827736480966209e-10,-2.4281106902890315e-08,-5.134444336363231e-08
1737,edge_x,26.043936117896973,0.0,-15.285780752515002,30.071561505029933,24.0,0.01,0.20412414523193162,4.5244016866341497e-11,6.938893903907228e-16,4.5244016871662446e-11,95.2579344371157,-23.814481942924882,48.237256210572134,38.28320237505531,105.21198827263251,ok,,0.20412414523193156,4.730662946042082e-11,76.04997380444757,210.33416058127335,5.551115123125783e-17,-2.062612588758376e-12,-37.766771429392264,-105.12217230864084
1737,edge_x,26.043936117896973,0.0,-15.285780752515002,30.071561505029933,32.0,0.005,0.20412414523193156,4.525269048372138e-11,7.702172233337023e-14,4.525275603055795e-11,190.51586887417093,-47.62896701271473,95.86826551181801,76.04997380697034,210.3341605790186,ok,,0.20412414523193156,4.730662946042082e-11,76.04997380444757,210.33416058127335,0.0,-2.05387342986287e-12,2.5227677724615205e-09,-2.2547510525328107e-09
1737,edge_x,26.043936117896973,0.0,-15.285780752515002,30.071561505029933,32.0,0.01,0.20412414523193143,3.4216379729556934e-11,-6.938893903907228e-16,3.4216379736592784e-11,95.25793443823959,-23.81448195163793,48.23725621058392,38.28320236903198,105.21198827979153,ok,,0.20412414523193156,4.730662946042082e-11,76.04997380444757,210.33416058127335,-1.3877787807814457e-16,-1.3090249723828038e-11,-37.76677143541559,-105.12217230148183
1737,edge_x,26.043936117896973,0.0,-15.285780752515002,30.071561505029933,40.0,0.005,0.20412414523193156,4.730660307927792e-11,-4.9960036108132044e-14,4.730662946042082e-11,190.51586887385284,-47.62896701626505,95.8682655118681,76.04997380444757,210.33416058127335,ok,,0.20412414523193156,4.730662946042082e-11,76.04997380444757,210.33416058127335,0.0,0.0,0.0,0.0
1737,edge_x,26.043936117896973,0.0,-15.285780752515002,30.071561505029933,40.0,0.01,0.2041241452319315,5.317482565381226e-11,-1.457167719820518e-14,5.31748276503752e-11,95.25793443637097,-23.814481947506092,48.237256210578515,38.28320237168983,105.21198827525966,ok,,0.20412414523193156,4.730662946042082e-11,76.04997380444757,210.33416058127335,-5.551115123125783e-17,5.868198189954378e-12,-37.76677143275774,-105.1221723060137
1737,edge_y,0.0,26.043936117896973,-25.8983986275247,-0.28867513459485433,24.0,0.005,0.20412414523193156,5.266606595277779e-10,-5.551115123125783e-15,5.266606595570329e-10,190.51586877961967,-47.62896719562554,95.86826551186202,76.04997366330103,210.33416062818065,ok,,0.2041241452319317,1.5128316235341048e-10,76.04997380316941,210.33416056188582,-1.3877787807814457e-16,3.753774972036224e-10,-1.3986837643642502e-07,6.629483095821342e-08
1737,edge_y,0.0,26.043936117896973,-25.8983986275247,-0.28867513459485433,24.0,0.01,0.2041241452319321,2.825378819792945e-10,-4.579669976578771e-14,2.825378856908989e-10,95.25793441398797,-23.81448198260042,48.23725621057442,38.28320234338301,105.21198828117937,ok,,0.2041241452319317,1.5128316235341048e-10,76.04997380316941,210.33416056188582,3.885780586188048e-16,1.3125472333748843e-10,-37.7667714597864,-105.12217228070645
1737,edge_y,0.0,26.043936117896973,-25.8983986275247,-0.28867513459485433,32.0,0.005,0.20412414523193156,3.0796060146442983e-10,-2.0122792321330962e-14,3.079606021218626e-10,190.51586882275228,-47.628967114482556,95.86826551186964,76.04997372723409,210.33416060738784,ok,,0.2041241452319317,1.5128316235341048e-10,76.04997380316941,210.33416056188582,-1.3877787807814457e-16,1.566774397684521e-10,-7.59353184776046e-08,4.55020199296996e-08
1737,edge_y,0.0,26.043936117896973,-25.8983986275247,-0.28867513459485433,32.0,0.01,0.20412414523193156,7.055259154675753e-11,-9.71445146547012e-15,7.055259221555342e-11,95.2579344346694,-23.814481950815363,48.237256210573314,38.28320236907734,105.21198827616537,ok,,0.2041241452319317,1.5128316235341048e-10,76.04997380316941,210.33416056188582,-1.3877787807814457e-16,-8.073057013785706e-11,-37.76677143409207,-105.12217228572045
1737,edge_y,0.0,26.043936117896973,-25.8983986275247,-0.28867513459485433,40.0,0.005,0.2041241452319317,1.5128315267176617e-10,5.412337245047638e-14,1.5128316235341048e-10,190.5158688532224,-47.62896701373233,95.86826551183283,76.04997380316941,210.33416056188582,ok,,0.2041241452319317,1.5128316235341048e-10,76.04997380316941,210.33416056188582,0.0,0.0,0.0,0.0
1737,edge_y,0.0,26.043936117896973,-25.8983986275247,-0.28867513459485433,40.0,0.01,0.20412414523193148,1.3123079012355987e-10,7.28583859910259e-15,1.3123079032581212e-10,95.25793442870128,-23.814481949220234,48.23725621057735,38.2832023693283,105.21198826995033,ok,,0.2041241452319317,1.5128316235341048e-10,76.04997380316941,210.33416056188582,-2.220446049250313e-16,-2.005237202759836e-11,-37.76677143384111,-105.1221722919355
